name,balance,num_cards,marital_status,tertiary_educated,success
Paul Olsen,-70036,13,divorced,false,true
Daniel Stallman,-31760,3,married,true,true
Zeb Lister,-144496,1,divorced,false,true
Clive Clarke,-308580,11,single,true,false
Sonny Hally,-157512,17,divorced,false,false
Zeb George,-159098,14,single,false,true
Annie Hally,-332969,0,divorced,true,false
Paul Levy,-31470,2,married,false,false
John Levy,-106261,13,single,true,false
Nerris Clarke,-777,8,divorced,false,true
Franklin Clarke,-348396,0,married,false,false
Ali Harold,-236683,0,single,true,true
Maryam Wesley,-120024,11,single,false,false
Maryam Robertson,-79106,20,married,true,true
James Robertson,-224463,19,single,false,false
Peter Harold,-25396,18,single,false,false
Franklin Ornstein,-292211,16,single,false,true
John Levy,-187860,2,single,false,true
John Olsen,-83632,12,divorced,true,true
William Hally,-75688,3,divorced,false,true
Peter Harold,-300869,19,divorced,false,true
Franklin Wesley,-323269,20,divorced,true,true
Richard Levy,-38371,13,divorced,false,false
Ali Wesley,-143275,15,single,false,false
Clive Hally,-178853,16,married,false,false
Peter Robertson,-312561,6,married,true,false
David Olsen,-311780,16,divorced,true,false
Zeb Pixi,-321072,10,married,false,true
Thomas Robertson,-113679,7,married,false,false
Paul Clarke,-7944,2,married,false,true
Zeb Ornstein,-228604,1,single,false,true
Nerris Wesley,-2452,20,divorced,true,false
Annie Ali,-20342,12,divorced,true,false
Daniel Harold,-295618,2,divorced,true,false
Clive Wesley,-299632,7,single,true,true
Annie Wesley,-80113,13,married,false,false
Zach Lister,-196901,18,divorced,false,false
Richard Ornstein,-153652,5,single,true,false
Franklin Ousterhout,-275062,11,married,true,false
Peter Ali,-317819,15,single,true,true
Franklin Ali,-262551,9,single,false,false
John Field,-109880,16,single,false,false
Bob Clarke,-261502,18,married,false,true
Franklin Harold,-154504,6,divorced,false,true
Zach Robertson,-337597,15,divorced,false,false
Clive Stallman,-271737,4,single,true,false
William Hardy,-134419,2,married,true,true
Peter Hardy,-211418,11,single,false,false
Clive Hardy,-198652,15,divorced,false,true
Peter Ali,-108304,10,married,true,false
John Stallman,-244749,12,single,true,true
Annie Stallman,-295454,0,married,true,true
William Hardy,-215770,11,single,false,true
Zach Lister,-52868,6,divorced,true,true
Franklin Field,-205022,16,single,true,true
Peter Hardy,-113615,8,single,true,false
Daniel Ousterhout,-288259,12,married,true,true
Sonny Pixi,-1357,11,divorced,true,true
Ali Field,-312601,7,divorced,true,true
Annie Ousterhout,-336992,16,divorced,true,false
Paul Harold,-290251,19,single,false,false
Nerris Ali,-8600,13,married,false,true
Daniel Wesley,-183874,12,married,false,true
Nerris Hally,-269717,5,single,true,false
Richard Robertson,-318945,13,single,false,true
Bob Olsen,-43519,7,divorced,true,false
Paul Clarke,-261153,12,divorced,false,false
Paul Ali,-336063,8,single,true,false
Zeb Stallman,-183896,11,married,true,false
David Stallman,-267285,1,single,true,false
William Harold,-339777,0,divorced,false,true
Thomas Hardy,-176746,20,single,true,true
Maryam Lister,-345978,3,married,false,false
John Ornstein,-119437,15,divorced,false,false
Sonny Ousterhout,-208826,1,single,true,false
John Ali,-284060,6,single,true,true
William Ousterhout,-46553,12,married,false,true
Daniel Wesley,-5771,10,divorced,false,false
Sonny George,-97550,0,single,false,false
John Ornstein,-324704,0,married,false,true
Sonny Hally,-39263,16,divorced,false,false
Paul Ali,-134823,14,single,false,true
David Harold,-290488,11,divorced,false,false
Zeb Stallman,-46504,20,single,true,true
Maryam Clarke,-199485,15,divorced,true,true
Ali Stallman,-193865,14,divorced,true,true
Maryam Robertson,-126704,14,single,true,true
Annie Ousterhout,-199200,8,married,false,true
Daniel Ousterhout,-162221,14,single,true,false
Nerris Pixi,-313058,9,divorced,true,false
Paul Robertson,-308336,5,divorced,false,false
Nerris Hardy,-4162,17,married,true,true
Ali Ali,-19035,9,married,false,true
Paul Pixi,-179811,16,divorced,false,true
Richard Clarke,-103909,13,married,true,true
Sonny George,-332519,13,divorced,false,false
Nerris Harold,-146835,15,divorced,true,false
James Stallman,-337331,11,divorced,true,false
Ali Harold,-277018,11,divorced,false,false
Franklin Ousterhout,-35033,20,single,false,true
Sonny Lister,-288287,6,married,false,true
Ali Hardy,-295452,2,single,true,true
Sonny Hally,-128886,18,divorced,true,true
James Stallman,-139597,8,divorced,false,false
Nerris Ali,-143392,2,divorced,false,true
William Olsen,-345368,9,single,true,false
Ali Stallman,-70592,19,single,false,true
Daniel Clarke,-266917,16,married,false,false
James Lister,-127795,6,single,false,false
John Ali,-104189,3,married,false,true
James George,-311580,8,divorced,false,false
William Ali,-189461,5,single,false,false
Sonny Pixi,-192843,16,single,true,true
Zach Ali,-32400,9,single,false,false
Maryam Clarke,-1558,18,divorced,false,true
William Olsen,-190510,18,divorced,false,true
Richard Field,-69290,10,single,false,true
Paul Hally,-298642,18,single,true,true
James Hally,-275508,2,married,true,true
Sonny Field,-101286,12,single,true,true
Annie Lister,-128136,18,single,false,false
Annie Levy,-54993,4,married,false,false
Ali Olsen,-123277,6,divorced,false,true
William Ornstein,-47155,14,single,false,false
Zach Pixi,-62067,8,single,true,false
Zach Ornstein,-300864,2,married,false,false
Zach Stallman,-191302,17,divorced,true,true
David Levy,-106036,8,divorced,true,false
Paul Clarke,-204284,4,married,false,true
Peter Stallman,-279746,10,divorced,true,false
James Olsen,-1132,7,divorced,true,false
Daniel Ali,-345569,16,single,true,false
Bob Ali,-189940,4,married,true,true
Zeb Clarke,-27082,18,divorced,false,true
James George,-206446,8,divorced,false,true
Bob Hally,-19081,4,married,false,true
Ali Ousterhout,-76499,4,single,true,false
Bob Harold,-159699,17,married,false,true
Franklin Harold,-323899,14,single,true,true
Thomas Field,-234688,16,divorced,true,true
Daniel Ousterhout,-215436,11,married,false,true
Thomas Stallman,-282871,8,single,true,true
Zeb Field,-49104,1,divorced,false,false
Franklin Hardy,-275899,6,married,false,false
Zeb Pixi,-8193,4,divorced,false,false
William Levy,-143743,4,divorced,true,false
Annie Olsen,-212687,12,single,false,true
Zeb Olsen,-198883,14,single,true,false
Maryam Levy,-83989,9,divorced,true,true
Nerris Levy,-35673,4,divorced,false,false
Zach Harold,-344984,19,single,false,true
Franklin Ornstein,-192175,18,single,true,true
Paul Ousterhout,-310100,10,married,true,false
Ali Lister,-324316,14,divorced,true,false
Daniel Field,-233570,10,single,false,false
Thomas Field,-161544,4,divorced,false,false
Nerris Field,-275783,18,single,true,true
James Harold,-76715,17,married,false,false
Maryam Lister,-176821,7,divorced,false,true
Maryam Hardy,-200740,9,married,true,false
Daniel Hardy,-85686,19,divorced,false,true
Bob Field,-105703,9,divorced,true,true
Zach Hally,-274317,6,divorced,true,false
John Clarke,-1333,14,single,true,true
David Ousterhout,-47074,12,single,false,false
Zach Ornstein,-150956,16,single,true,true
James Ali,-271578,18,married,false,true
Paul Harold,-122536,18,single,false,false
Paul Pixi,-223065,2,divorced,true,false
Nerris Wesley,-64620,17,single,true,false
James Levy,-144219,7,divorced,false,false
Franklin Stallman,-174931,3,single,true,true
Bob Ornstein,-217913,12,single,true,true
Clive George,-179877,12,single,false,false
Sonny Hardy,-240087,9,married,false,false
Annie Harold,-254268,6,divorced,false,false
Peter Ousterhout,-85345,6,married,false,false
Zach Hardy,-204263,5,married,false,true
Zach Robertson,-23437,20,single,false,false
William Wesley,-16257,18,divorced,true,true
Ali Hally,-302776,6,married,false,false
Maryam Lister,-251908,14,divorced,true,false
Richard Harold,-111366,8,divorced,true,false
Peter Ousterhout,-250531,17,single,false,false
Zeb Hardy,-311097,13,divorced,false,true
David Stallman,-284018,6,married,false,false
Zeb Hardy,-339230,5,married,true,false
Zach Robertson,-319901,15,married,false,false
Clive Wesley,-150211,11,single,true,true
James Harold,-198622,4,divorced,true,false
Clive Ornstein,-147755,11,married,false,false
Peter Pixi,-1233,10,married,false,false
Ali Clarke,-275014,17,divorced,true,true
John Lister,-38349,14,single,true,false
Bob Robertson,-202681,5,single,false,false
Peter Olsen,-224231,2,married,true,true
David George,-104642,8,married,false,false
William Ornstein,-143750,18,single,true,false
Daniel Ousterhout,-61346,1,single,true,false
Maryam Pixi,-175621,0,divorced,false,false
James Ousterhout,-271639,19,married,true,true
James Ornstein,-118361,8,single,false,true
Maryam Ali,-47562,3,single,true,false
John Lister,-198480,1,divorced,true,true
Paul Stallman,-209583,15,married,true,false
Zach Wesley,-90283,2,divorced,false,false
Annie Harold,-182842,3,married,false,false
Paul Ali,-250457,8,divorced,false,false
Thomas Lister,-312775,0,married,false,false
Thomas Olsen,-299422,9,divorced,false,false
John Ornstein,-141294,18,single,true,false
Maryam Lister,-324451,3,married,false,false
Zach Clarke,-158052,19,single,false,true
Richard Olsen,-303215,4,married,true,true
William Ornstein,-289280,11,single,true,true
Bob Clarke,-147189,15,single,true,true
Paul Robertson,-86378,14,single,false,true
Zach Pixi,-11220,16,divorced,true,false
Franklin Clarke,-308144,10,divorced,false,false
Annie Clarke,-329801,4,divorced,true,false
Franklin Hardy,-131030,18,divorced,false,false
Annie Ornstein,-320587,16,married,false,true
James Robertson,-193107,2,single,false,false
Zeb Olsen,-121310,16,married,true,true
Paul Levy,-89706,17,divorced,false,false
Bob Field,-225728,4,married,false,false
Maryam Robertson,-237235,10,married,true,true
John Levy,-20160,7,married,true,true
Peter Ousterhout,-42243,13,single,true,true
Annie Ali,-41686,8,single,false,true
Sonny Wesley,-44644,7,married,true,true
William Levy,-294143,20,divorced,true,true
Sonny Olsen,-127915,11,married,false,true
Sonny Ali,-139356,20,single,true,false
Thomas Clarke,-303984,5,married,false,false
William Wesley,-109437,1,divorced,true,false
Annie Stallman,-336972,15,divorced,false,false
Peter Ali,-148267,19,married,true,false
Daniel Stallman,-38637,17,divorced,true,false
James Clarke,-156999,10,single,false,false
Zach Ornstein,-307014,16,single,true,false
Peter Levy,-343425,17,divorced,false,false
Maryam Ousterhout,-200148,18,single,false,true
Nerris Hally,-269194,8,single,false,true
Sonny Lister,-153584,11,single,true,true
Peter Robertson,-173128,16,single,true,false
Franklin Clarke,-161601,9,divorced,true,false
Richard Ousterhout,-53068,14,married,false,true
John Lister,-23444,13,divorced,false,false
Zeb Ornstein,-245203,15,divorced,false,true
Richard Ousterhout,-174866,6,single,true,true
Bob Pixi,-3168,11,divorced,true,true
William Olsen,-126352,12,single,true,false
James Levy,-258896,0,single,true,false
Annie Lister,-340406,16,single,true,true
John Ornstein,-53163,2,divorced,true,true
Sonny Hally,-193263,12,single,false,false
James Lister,-38758,0,single,false,true
David Hally,-154982,8,single,true,true
Zach Hardy,-159243,15,divorced,true,false
Daniel Harold,-191702,12,single,true,false
Paul Lister,-104189,3,married,true,false
Paul Olsen,-347446,13,married,true,true
Paul Robertson,-7364,0,single,false,true
Maryam Lister,-94323,1,divorced,false,true
Zach Ornstein,-215228,11,married,false,true
James Hardy,-50226,4,single,true,true
William Lister,-173099,3,divorced,false,false
James Clarke,-248676,19,single,true,true
Sonny Ali,-76328,9,married,true,false
Annie Levy,-225465,17,single,false,false
John Levy,-339481,5,married,false,true
Thomas Ornstein,-203726,0,married,false,false
Zach Ornstein,-32019,15,divorced,false,false
Ali Hally,-8194,2,married,false,false
Clive Hardy,-334477,12,divorced,true,true
Thomas Hardy,-113026,14,divorced,false,false
James Olsen,-44135,15,married,true,true
Annie Ornstein,-72573,16,single,false,false
Zach Field,-245405,1,married,false,false
James Hardy,-111421,15,single,true,false
James Wesley,-111898,17,single,false,false
Annie George,-213399,8,married,false,true
Thomas Hardy,-114682,3,single,true,true
Sonny Ali,-334201,18,divorced,true,false
Maryam Lister,-22825,7,divorced,true,false
Peter Field,-64523,9,single,false,true
Richard Hally,-248798,1,single,false,true
Zeb Robertson,-334682,15,divorced,true,false
Sonny Ali,-331847,19,divorced,false,true
Bob Harold,-202685,0,married,true,false
Zeb Pixi,-294153,10,single,false,true
Zach Hardy,-62984,8,single,false,true
Zeb Robertson,-99941,4,single,false,false
Paul Ornstein,-42727,8,single,true,false
David Pixi,-194851,7,single,true,false
John Clarke,-221411,12,single,false,false
John Stallman,-26465,10,married,false,false
Paul Olsen,-130810,9,divorced,true,true
Ali Olsen,-342013,13,divorced,false,true
William Clarke,-217893,11,divorced,true,false
Zach Stallman,-176769,18,single,false,false
Zeb Ali,-151017,17,married,false,false
Zeb Ousterhout,-219269,9,divorced,false,false
